,mkt_unique_carrier,mean delay based on air carrier
0,AA,6.393277472901265
1,AS,0.4299573357971684
2,B6,10.439433138973627
3,DL,2.4906834349425684
4,F9,10.74885342139057
5,G4,8.746297562087035
6,HA,0.17893530310748854
7,NK,4.486433515036443
8,UA,9.01726741464446
9,VX,2.8919308357348705
10,WN,3.444016138565518
